transaction_date,symbol,trade_type,number_shares,price,cash_after_trade,headline,pred_impact,impact_score
2015-01-06,MDT,0,1,55.6,99485.67999999996,"['Is China Weakness Offsetting iPhone, Galaxy Demand?']",3,0
2015-01-06,KR,0,1,25.72,99459.95999999996,"[""Apple's Quarter A Positive Read For Avago Technologies, Citi Says""]",3,0
2015-01-06,AVGO,0,1,7.49,99452.46999999996,"['Barclays Assumes Avago Technologies at Overweight, Announces $145.00 PT'
 ""Barclays Is Overweight Avago, Sees 'Room For M&A'""
 'Barclays Analyst Sees iPhone Content Gains For Avago Technologies']",3,0
2015-01-07,AVGO,0,1,7.34,99445.12999999996,"[""Benzinga's M&A Chatter for Thursday May 14, 2015""
 'UPDATE: Avago Said To Be Working With Banks, May Spend $10B+ On Takeover, Avago Rumored To Be Expanding Analog Semiconductors And/Or Radio Frequency Technology Business Segments'
 '3 Semiconductor Stocks With Soaring Short Interest'
 'Avago Contacted Xilinx, Maxim Regarding Potential Takeover -Reuters']",3,0
2015-01-07,JD,0,1,22.56,99422.56999999996,['Bank Of America: The M&A Train Rolls On At Avago'],3,0
2015-01-07,XLU,0,1,33.32,99389.24999999996,"[""Jim Strugger's Options Strategy For Marvell Technology Pre-Earnings""]",3,0
2015-01-07,GILD,0,1,69.45,99319.79999999996,"['Mizuho Initiates On Semiconductors; Sector Is Moving'
 ""Avago Shares Initiated Buy, Mizuho Sees 'Strong' 4G""
 'Mizuho Securities Initiates Coverage on Avago Technologies at Buy, Announces $150.00 PT']",3,0
2015-01-07,SLB,0,1,61.09,99258.70999999996,"['Option Alert: Avago Jun $135 Call; 2015 Contract Trade at Ask @$5.10; Now $132.40'
 ""Hearing Piper Jaffray's Ruben Roy Suggesting Implied Takeover Value in Broadcom $58/Share""
 'Hearing Avago Near Deal to Buy Broadcom, Could Be Announced as Soon as Thursday'
 'UPDATE: Deal for Broadcom by Avago Could Be Cash, Stock'
 'Shares of Mellanox Nosedive ~1% as Hearing Stifel Analyst Has Suggested Avago, Broadcom Deal Would Pose Direct Competitive Threat for Co.'
 ""Mizuho Analyst Offers Initial Take on Broadcom, Avago Report: 'Could Be Accretive with Right Debt Sized Deal, CEO Hock Working Operational Synergies Given Low Tax Rates'""
 'Hearing Intel In Talks To Buy Altera'
 'Broadcom in Advanced Talks to Be Acquired by Avago Technologies -DJ'
 'Broadcom Soars 20% Amid News Of Deal With Avago Technologies'
 'Semiconductor Stocks Go Nuts Amid Consolidation Speculation'
 ""The Bird's Eye View On...This Week's BIG Earnings""
 'Broadcom Shares Rise ~20% Following Report of Potential Deal With Avago'
 'Hearing Avago Board to Meet Tonight Related to Broadcom']",3,0
2015-01-07,MDT,0,1,55.38,99203.32999999996,"['Ladenburg Analyst Commenting on Broadcom, Avago Deal: Interested to See if Avago Could Eventually Decide to Spin-Off Other Parts of Broadcom, Specifically Mentions Connectivity Unit'
 ""Avago-Broadcom Merger: What's Social Media Saying?""
 'Broadcom-Avago Merger Could Boost EPS 5% To 11%'
 'Broadcom-Avago...The Day After'
 'Avago, Broadcom To Combine In $37 Billion Deal'
 ""PacCrest: Broadcom A 'Strategic Fit' For Avago""
 'US Stock Futures Down Ahead Of Jobless Claims'
 'Mizuho Analyst Saw $35 Billion Price Tag For Broadcom'
 'Avago Posts Upbeat Q2 Earnings, Plans To Buy Acquire For $37B'
 'Broadcom Shares Resume Trade, Now Down 2%, Avago Shares Down 0.3%'
 'UPDATE: Broadcom Shareholders Can Elect to Receive:'
 'UPDATE: Avago Pres, CEO Hock Tan Will Serve as Pres, CEO of Combined Co.'
 'Shares of Broadcom, Avago Technologies to Resume Trade at 7:30 a.m. EDT'
 'Avago Technologies Reports Q2 Adj. EPS $2.13 vs $2.01 Est., Sales $1.614B vs $1.64B Est.'
 'Avago Announces Acquisition of Broadcom at $17B in Cash, 140M Shares'
 'Shares of Broadcom and Avago Halted, News Pending'
 'Earning & Economic Calendar for Thursday May 28, 2015'
 'Must Watch Stocks for May 28, 2015'
 'Earnings Scheduled For May 28, 2015'
 ""Ladenburg Analyst Adds That There Were Two Companies Other Than Avago That Could Bid For Broadcom That Would Make 'Financial And Strategic Sense.'""
 ""Ladenburg Analyst Says Broadcom Acquisition By Avago 'Makes A lot Of Sense'""
 ""Benzinga's M&A Chatter for Thursday May 28, 2015""]",3,0
2015-01-07,KR,0,1,25.84,99177.48999999996,"['(Most Of) The Pros Love Avago'
 ""Avago-Broadcom, Google Barrage And Thursday's Biggest Tech Stories...In JP Morgan's Eyes""
 ""Benzinga's Top Upgrades""
 'Hearing Unconfirmed Chatter Qualcomm May Come in With Higher Bid for Broadcom'
 'Stocks Hitting 52-Week Highs'
 ""Jefferies: Avago-Broadcom = $14 Of 'EPS Power'""
 'Intel Not Interested in Making Counteroffer for Broadcom -NY Post'
 'Jefferies Upgrades Avago Technologies to Buy, Raises PT to $179.00'
 'Morgan Stanley: Keep Buying Avago Stock'
 'Jefferies Upgrades Avago Technologies To Buy'
 'Goldman Sachs Downgrades Broadcom, Removes From Americas Buy List']",3,0
2015-01-08,AVGO,0,1,7.61,99169.87999999996,"[""Benzinga's Top Initiations""
 'Drexel Hamilton Initiates Avago Technologies At Buy'
 'Drexel Hamilton Initiates Coverage on Avago Technologies at Buy, Announces $180.00 PT']",3,0
2015-01-08,JD,0,1,22.52,99147.35999999996,['Semiconductor Slowdown A Bad Omen For Global Economy'],3,0
2015-01-08,GILD,0,1,70.49,99076.86999999995,"[""Morgan Stanley Hikes Atmel Target To $12, Notes 'Strategic Value' In Shares""]",3,0
2015-01-08,KR,0,1,26.56,99050.30999999995,"['BofA: Skyworks Has M&A Potential, Big Dividend, Apple Connection And We Like It']",3,0
2015-01-08,MDT,0,1,56.92,98993.38999999996,"['Argus Research Initiates Coverage on Avago Technologies at Buy, Announces $163.00 PT'
 ""Benzinga's Top Initiations""
 'Argus Research Initiates Avago Technologies With Buy']",3,0
2015-01-08,XLU,0,1,33.64,98959.74999999996,"[""Morgan Stanley On 'What's Moving Semi Stocks'""]",3,0
2015-01-08,SLB,0,1,61.05,98898.69999999995,"['Oppenheimer Likes Avago, Skyworks Solutions; Upgrades Marvell And Downgrades Broadcom']",3,0
2015-01-09,MDT,0,1,57.63,98841.06999999995,['Oppenheimer Technical Analyst: Buy These 8 Stocks Now'],3,0
2015-01-09,KR,0,1,26.9,98814.16999999995,['Option Alert: Avago Aug $130 Call Sweep; 2658 Contract Trade at Ask @$7.20; Now $131.94'],3,0
2015-01-09,GILD,0,1,72.4,98741.76999999996,"[""Benzinga's Top Initiations""
 'BMO Capital Initiates Coverage on Avago Technologies at Outperform, Announces $185.00 PT']",3,0
2015-01-09,SLB,0,1,61.63,98680.13999999996,"['Avago Looking to Acquire Marvell, According to LightReading.com']",3,0
2015-01-09,AVGO,0,1,7.91,98672.22999999995,"[""How Investors Can Capitalize On Apple's Earnings Report""]",3,0
2015-01-09,XLU,0,1,33.68,98638.54999999996,"[""Stephen's Kumar Commenting on Across-the-Board Weakness in Semi, IC Stocks Today: Sees This as 'Tremendous Buying Opportunity,' Specifically Mentions Skyworks, Qorvo""
 ""Stephen's Kumar Doesn't Feel Downside in Semi, IC Stocks Wednesday Stems from Street's Apparent Concern Regarding Apple's iPhone Unit Figures Given with Q3 Report""
 ""Semi, IC Stocks Clobbered; Summit's Srini Sundararajan Provides Some Insight""
 ""Summit Research's Srini Sundararajan Comments on Weakness in Semi, IC Names Today: Sees Pressure Related to Combo of Poor Linear Tech Results, Potential Apple iPhone Concerns""]",3,0
2015-01-09,JD,0,1,22.69,98615.85999999996,"[""Benzinga's Top Downgrades""
 'Drexel Hamilton Downgrades Avago Technologies to Hold, Lowers PT to $125.00']",3,0
2015-01-12,JD,0,1,22.58,98593.27999999996,"['Option Alert: $AVGO Sep $115 Call; 3520 Contracts vs 321 OI; Now $109.08'
 'Taiwan Semiconductor Gains Customers for 16nm FinFET Chips, Including Apple, AMD, Avago, Broadcom, Nvidia, Xilinx, Loses Qualcomm Mobile Chips -DigiTimes']",3,0
2015-01-12,XLU,0,1,33.5,98559.77999999996,"['CLSA Upgrades Avago Technologies to Buy, Maintains $150.00 PT'
 ""UPDATE: CLSA on Avago Upgrade: 'iPhone builds, China demand appear OK for now. Even if unit growth slows, we believe AVGO is relatively better positioned given secular content increase in iPhone 6S, 7'""]",3,0
2015-01-12,KR,0,1,26.78,98532.99999999996,"[""Avago Trumps Analysts' Fears: What They're Saying Now""
 'Can Avago Technologies Ride The Apple Supplier Wave?'
 ""Wednesday's After-Hours Movers: Workday, Williams-Sonoma, Avago And More""]",3,0
2015-01-12,MDT,0,1,57.5,98475.49999999996,"['JMP Securities Upgrades Avago Technologies to Market Outperform, Announces $165.00 PT'
 ""UPDATE: JMP's Alex Guana Upgrades Avago to Market Outperform, Highlights 'Upside iPhone Prospects and Acquisition Synergies'""
 ""Benzinga's Top Upgrades"" 'Avago May Be A Way To Play The Next iPhone']",3,0
2015-01-12,AVGO,0,1,7.95,98467.54999999996,"[""Brean Capital: August MIIT Data 'Positive' For RF Names""]",3,0
2015-01-12,SLB,0,1,58.56,98408.98999999996,['5 Semiconductor Stocks To Love (And 6 To Worry About)'],3,0
2015-01-12,GILD,0,1,71.92,98337.06999999996,"[""Hear That? It's Tech Earnings Season Sneaking In""]",3,0
2015-01-13,SLB,0,1,57.72,98279.34999999996,"[""EU Antitrust Regulators to Approve Without Conditions Avago's $37B Takeover Proposal for Broadcom -Reuters""
 'Apple Supply Chain Faces Risk Here, Pacific Crest Warns']",3,0
2015-01-13,XLU,0,1,33.56,98245.78999999996,"['Susquehanna Initiates Coverage on Avago Technologies at Positive, Announces $160.00 PT'
 ""Benzinga's Top Initiations""
 'Susquehanna Upbeat On Avago, Sees Growth Through M&A And Broadcom Buy']",3,0
2015-01-13,AVGO,0,1,7.85,98237.93999999996,"[""6 Stocks Moving In Wednesday's After-Hours Session""
 'Avago Sees Q1 Sales $1.78B +/- $25M vs $1.82B Est.'
 'Avago tech Reports Q1 Adj EPS $2.51 Vs Est $2.38, Sales $1.84B Vs Est $1.85B'
 '7 Stocks You Should Be Watching Today'
 'Earnings Scheduled For December 2, 2015']",3,0
2015-01-13,MDT,0,1,57.82,98180.11999999995,"['Mid-Afternoon Market Update: Dow Tumbles Over 250 Points; Verint Systems Shares Slip On Weak Results'
 'Mid-Day Market Update: Avago Jumps On Earnings Beat; PVH Shares Dip'
 ""Benzinga's Volume Movers""
 'Mid-Morning Market Update: Markets Drop; Dollar General Earnings Top Views'
 'Morning Market Gainers'
 ""Avago +10.5% Premarket +@$146.00 Following Wednesday's Strong Earnings Report, Multiple Analyst PT Raises on Thursday""
 ""Benzinga's Top #PreMarket Gainers""
 '10 Stocks To Watch For December 3, 2015'
 'Avago Q4 Earnings Top Expectations, Shares Surge']",3,0
2015-01-13,KR,0,1,26.95,98153.16999999995,"[""Avago's Q3 Aftermath: What Top Wall Street Analysts Are Saying""
 ""Benzinga's Top #PreMarket Gainers""]",3,0
2015-01-13,JD,0,1,22.02,98131.14999999995,"['Apple iPhone Levels Signal Component Correction Coming, Pacific Crest Warns']",3,0
2015-01-13,GILD,0,1,71.23,98059.91999999995,['Avago Reports $0.44/Share Interim Dividend'],3,0
2015-01-14,KR,0,1,26.69,98033.22999999995,['The Top 20 Wall Street Analysts Of 2015'],3,0
2015-01-14,MDT,0,1,55.44,97977.78999999995,"['RBC Capital Upgrades Avago Technologies to Top Pick'
 ""Barron's Recap: The New Microsoft (And How It Could Rise 30% In 18 Months)""]",3,0
2015-01-14,SLB,0,1,56.24,97921.54999999994,"['FBR Deep Dives Into Global Handset Content Trends, Highlights Six Key Takeaways']",3,0
2015-01-14,AVGO,0,1,7.65,97913.89999999995,"['Apple, Fitbit Weakness Drive Down Suppliers'
 'Watching Many Apple Suppliers Following Mid-Day Report of iPhone Output Reductions; Skyworks Down ~3%, Avago Down ~2.5%, Cirrus Logic Down 2%, Micron Down 2%, ARM Down 2%']",3,0
2015-01-14,XLU,0,1,33.47,97880.42999999995,"['Bernstein On US Semi Stocks: NXP A Top Pick, Broadcom Downgraded']",3,0
2015-01-14,JD,0,1,21.41,97859.01999999995,"['Buy The Weakness In RF Names Following Qualcomm/TDK JV'
 ""Benzinga's Top Initiations""
 ""Brean Capital 'would buy the dip' In AVGO, QRVO, SWKS On Heels Of Selloff Stemming From QCOM/TDK Tie-Up""
 'SunTrust Robinson Humphrey Initiates Coverage on Avago Technologies at Buy']",3,0
2015-01-14,GILD,0,1,67.14,97791.87999999995,"['Avago, Broadcom Report Election Deadline for BRCM Holders to 5 p.m. EST on Jan. 25, 2016']",3,0
2015-01-15,MDT,0,1,55.82,97736.05999999994,"[""Do Apple And Xiaomi's Numbers Bode Poorly For China's Smartphone Market?""]",3,0
2015-01-15,KR,0,1,26.89,97709.16999999994,['Broadcom Completes Acquisition of Avago Technologies'],3,0
2015-01-15,JD,0,1,21.8,97687.36999999994,"['Barclays Initiates Coverage on Avago Technologies at Overweight, Announces $170.00 PT'
 ""Benzinga's Top Initiations""]",3,0
2015-01-15,SLB,0,1,58.27,97629.09999999993,['Goldman Sachs Initiates Coverage on Broadcom at Buy'],3,0
2015-01-15,GILD,0,1,69.44,97559.65999999993,['New Qualcomm Trial Could Provide Upside For These Semiconductor Stocks'],3,0
2015-01-15,XLU,0,1,33.82,97525.83999999992,"['What Street Thinks Of Freeport, Avago After Earnings']",3,0
2015-01-15,AVGO,0,1,7.84,97517.99999999993,['Option Alert: AVGO Apr16 125 Calls: 1400 @ ASK $6.40: 5803 traded vs 371 OI: Earnings 3/3 After Close $116.80 Ref'],3,0
2015-01-16,GILD,0,1,68.13,97449.86999999992,"[""CORRECTION: Loeb's Third Point 13F Showed Very Slightly Reduced Stake in Avago""]",3,0
2015-01-16,MDT,0,1,55.36,97394.50999999992,"[""Credit Suisse Reinstates Broadcom, Sees Strong Upside Against Backdrop Of 'Lackluster' Semiconductor Sector""
 ""Benzinga's Top Initiations""
 'Topeka Capital Initiates Coverage on Broadcom at Hold'
 'Credit Suisse Reinstates Outperform on Broadcom, Announces $160.00 PT']",3,0
2015-01-16,KR,0,1,27.05,97367.45999999992,"['B. Riley Initiates Coverage on Broadcom at Buy, Announces $175.00 PT'
 ""Benzinga's Top Initiations""]",3,0
2015-01-16,AVGO,0,1,7.62,97359.83999999992,['Reports Claim Marvell Open To Sale; Shares Rise'],3,0
2015-01-16,JD,0,1,21.04,97338.79999999993,"[""Benzinga's M&A Chatter for Thursday March 10, 2016""
 ""Marvell Tech Responds To Comments Avago Tech May Purchase Co, Says Marvell 'has not been and is not engaged in discussion with Avago '""
 'Marvell Says Not in Takeover Talks with Avago']",3,0
2015-01-16,XLU,0,1,34.03,97304.76999999993,['Option Alert: AVGO Apr16 150 Calls Sweep: 1833 @ ASK $5.61: 1856 traded vs 1199 OI: $148.07 Ref'],3,0
2015-01-16,SLB,0,1,57.34,97247.42999999993,"[""Who's Insulated From The Samsung GS7 Whiff?""]",3,0
2015-01-20,GILD,0,1,70.73,97176.69999999994,"['BoA Likes Avago, Intel And Others Semiconductor Giants After Meeting Asian Investors']",3,0
2015-01-20,MDT,0,1,56.32,97120.37999999993,"['Goldman Says AVGO, FB Are Top Stocks For 2016 Sales Growth (+94% & +42% respectively); Says AMZN, AIG Top Stocks For 2016 EPS Growth (+285% & +120% respectively)'
 ""Amazon, AIG And Facebook Lead Goldman's List Of EPS Growth Winners For Rest Of Year""]",3,0
2015-01-20,KR,0,1,27.33,97093.04999999993,"[""Apple Demand 'Cold As Ice' In Asia, iPhone Suppliers Face Risk Of Earnings Misses""]",3,0
2015-01-20,JD,0,1,21.81,97071.23999999993,"['Semi Equipment Stocks Under Pressure Over Last Few Mins Following Nikkei Report on iPhone Production; Watch Cirrus Logic, Skyworks, Qorvo, Avago'
 'Nikkei: Apple Will Continue Reduced Production Of iPhones'
 'Option Alert: SWEEP (SELL) - AVGO May 170 Call - 863 @ 1.371 in 3 orders. 863 traded. OI: 251']",3,0
2015-01-20,XLU,0,1,34.43,97036.80999999994,"[""Benzinga's Top Initiations""
 'Cowen & Company Initiates Coverage on Broadcom at Outperform']",3,0
2015-01-20,AVGO,0,1,7.85,97028.95999999993,['Option Alert: AVGO May16 150 Puts Sweep: 1507 @ ASK $4.90: 2016 traded vs 1163 OI: Earnings 5/26 $151.36 Ref'],3,0
2015-01-20,SLB,0,1,59.49,96969.46999999993,"['Jim Cramer Shares His Thoughts On Skyworks, Broadcom And Airliners']",3,0
2015-01-21,SLB,0,1,59.52,96909.94999999992,['iPhone Suppliers Are Getting Destroyed After Apple Earnings'],3,0
2015-01-21,KR,0,1,27.0,96882.94999999992,['Analyst: Buy The Post-Earnings Dip In Apple Suppliers'],3,0
2015-01-21,MDT,0,1,55.51,96827.43999999993,"[""Cypress to Acquire Broadcom's Wireless Internet of Things Business For $550M""
 'Jim Cramer Advises Viewers On Alliance Data Systems And Micron Technology']",3,0
2015-01-21,GILD,0,1,72.06,96755.37999999993,"['Jim Cramer Gives His Opinion On Integrated Device Technology, Nokia And Cypress Semiconductor']",3,0
2015-01-21,JD,0,1,22.16,96733.21999999993,"['Qorvo Standing Out From The Industry, According To Goldman Sachs']",3,0
2015-01-21,AVGO,0,1,7.9,96725.31999999993,"['Concerns About iPhone Production Cuts Likely Already Priced Into Suppliers'
 ""Amid Weak iPhone Sales, Sterne Agee CRT Cuts Avago's Estimates""]",3,0
2015-01-21,XLU,0,1,34.39,96690.92999999993,"['CLSA Initiates Coverage on Broadcom at Outperform, Announces $165.00 PT'
 ""Benzinga's Top Initiations""]",3,0
2015-01-22,XLU,0,1,34.84,96656.08999999994,"['If Hedge Funds Hate Apple, Who Do They Love?']",3,0
2015-01-22,AVGO,0,1,8.02,96648.06999999993,"['Chip Suppliers Cautious Regarding Unit Production for iPhone 7; Suppliers Include Intel, Qualcomm, NXP, Broadcom, Taiwan Semiconductor-DigiTimes']",3,0
2015-01-22,SLB,0,1,61.38,96586.68999999993,['Option Alert: AVGO Jun16 152.5 Puts Sweep: 1393 @ ASK $5.70: 1399 traded vs 119 OI: Earnings 6/2 After Close $153.52 Ref'],3,0
2015-01-22,JD,0,1,22.15,96564.53999999994,"['Buy Broadcom, Cirrus Logic, Skyworks Amid Meaningful Improvement In iPhone Inventories']",3,0
2015-01-22,GILD,0,1,72.83,96491.70999999993,['Option Alert: AVGO Jul16 165 Calls Sweep: 716 @ ASK $5.50: 765 traded vs 2891 OI: $164.54 Ref'],3,0
2015-01-22,KR,0,1,27.29,96464.41999999994,['Nomura Upgrades Broadcom After Meeting With CEO'],3,0
2015-01-22,MDT,0,1,56.35,96408.06999999993,['3 Of The Stocks Most Sold By Hedge Funds In 2016'],3,0
2015-01-23,MDT,0,1,58.57,96349.49999999993,['Option Alert: AVGO Jun16 150 Puts Sweep: 673 @ ASK $0.15: 1010 traded vs 571 OI: $158.97 Ref'],3,0
2015-01-23,GILD,0,1,73.01,96276.48999999993,['Watch These 7 Huge Put Purchases In Thursday Trade'],3,0
2015-01-23,KR,0,1,27.55,96248.93999999993,['D.A. Davidson Says Cavium Got QLogic For A Fair Price'],3,0
2015-01-23,SLB,0,1,60.63,96188.30999999992,"[""Broadcom's Growth Drivers In Focus At Brean Capital""]",3,0
2015-01-23,AVGO,0,1,7.95,96180.35999999993,['Watch These 10 Huge Call Purchases In Thursday Trade'],3,0
2015-01-23,XLU,0,1,34.72,96145.63999999993,"[""Morgan Stanley Admires Analog Devices' Model, Improved Diversification""]",3,0
2015-01-23,JD,0,1,21.99,96123.64999999992,"['Option Alert: AVGO Aug16 $172.5 Calls 2,570 @Bid @$2.15; Ref = $171.59']",3,0
2015-01-26,AVGO,0,1,8.08,96115.56999999992,['4 Interesting Semiconductor Picks'],3,0
2015-01-26,XLU,0,1,34.67,96080.89999999992,"[""Benzinga's Top Initiations""
 'Baird Initiates Coverage on Broadcom at Outperform'
 ""13F from Loeb's Third Point Shows Liquidated Stake in Broadcom""]",3,0
2015-01-26,SLB,0,1,60.73,96020.16999999993,['Stocks Hitting 52-Week Highs'],3,0
2015-01-26,JD,0,1,22.2,95997.96999999993,"['UPDATE: Broadcom would Pay $14M to PLX Investors as Part of Settlement Agreement'
 'Broadcom Near Deal to Settle Lawsuit Regarding 2014 PLX Technology Takeover -DJ']",3,0
2015-01-26,GILD,0,1,73.34,95924.62999999993,"['Pacific Crest Recommends Apple Stock, But Still Wary Of Its Suppliers']",3,0
2015-01-26,KR,0,1,27.62,95897.00999999994,"['Citigroup Assumes Broadcom at Buy, Announces $205.00 PT'
 ""Don't Expect Many Surprises From Marvell Technology's Q2 Earnings""
 ""Cowen Thinks Broadcom Estimates Are 'Way Too Low,' Sees 13% Upside""
 'Barclays Expects Strong Q3 Results From Broadcom'
 'Credit Suisse On Broadcom: More Confident On Earnings Than Revenues, But Both Should Beat Estimates'
 'Citigroup Resumes Coverage On Broadcom, Positive On Business Diversity'
 ""Broadcom's Q3 Should At Least Meet Expectations, Says D.A. Davidson""]",3,0
2015-01-26,MDT,0,1,59.36,95837.64999999994,"['Earnings Scheduled For September 1, 2016'
 '12 Stocks To Watch For September 1, 2016'
 '5 Stocks Moving After Hours: Lululemon, Ambarella And More'
 'Broadcom Reports Q3 Non-GAAP EPS $2.89 vs $2.77 Est, Rev $3.79B vs $3.76B Est'
 'Broadcom Sees Q4 Revenue $4.1B to $4.18B vs $4.06B Est']",3,0
2015-01-27,MDT,0,1,57.93,95779.71999999994,"['A Solid Beat And Raise Quarter For Broadcom Led By Wireless Segment'
 'Brean Capital Raises Broadcom Price Target Following Earnings'
 ""Credit Suisse Discusses Broadcom's Leverage Situation""
 'A Peek Into The Markets: U.S. Stock Futures Rise; All Eyes On Jobs Report'
 'The Market In 5 Minutes: All Quiet On The Market Front Ahead Of Jobs Number'
 ""10 Stocks Moving In Friday's Pre-Market Session""
 '7 Stocks You Should Be Watching Today'
 '7 Biggest Price Target Changes For Friday'
 '10 Biggest Mid-Day Losers For Friday'
 'Broadcom Price Target Boosted To $200 At Morgan Stanley']",3,0
2015-01-27,JD,0,1,22.39,95757.32999999994,['Broadcom Appears Ahead Of Schedule With Its Merger Integration'],3,0
2015-01-27,XLU,0,1,34.6,95722.72999999994,"['10 Notable Stocks Trading Ex-Dividend Thursday, September 15']",3,0
2015-01-27,AVGO,0,1,7.95,95714.77999999994,"['20 Stocks Which Rallied Three Days'
 '7 Biggest Price Target Changes For Thursday']",3,0
2015-01-27,KR,0,1,27.81,95686.96999999994,['25 Stocks Which Rallied Three Days'],3,0
2015-01-27,GILD,0,1,74.09,95612.87999999995,"['22 Stocks Which Rallied Four Days, Then Sold Off On Friday']",3,0
2015-01-27,SLB,0,1,61.22,95551.65999999995,"[""Benzinga's Top Initiations""
 'Susquehanna Initiates Coverage on Broadcom at Positive']",3,0
2015-01-28,AVGO,0,1,8.11,95543.54999999994,"['Jim Cramer Shares His Thoughts On Vonage And Intersil'
 'Morgan Stanley Upgrades ON Semiconductor, Sees Wide Range Of Potential Positive Opportunities']",3,0
2015-01-28,JD,0,1,23.1,95520.44999999994,['25 Stocks With Three-Day Increasing Volume'],3,0
2015-01-28,SLB,0,1,62.31,95458.13999999994,"[""Evercore: Rumors Of Qualcomm Buying NXP Semiconductors Could Be 'Very Real'""
 ""UPDATE: Evercore Highlights 'Some Chance' Broadcom Could Step In to Bid for NXP Semi""
 'Semi Stocks Rally Over Last Few Mins Following NXP Semi Takeover Report; Silicon Labs Up 1.8%, Broadcom 1.5%, Micron 1.4%, Microchip 0.7%, TI 0.4%, Analog Devices, Maxim Unch']",3,0
2015-01-28,MDT,0,1,57.8,95400.33999999994,"['Street Speculates 2 Suitors Courting NXP Semiconductors'
 'Xilinx, Inc. Shares Showing Strength On Takeover Chatter Rumors With Avago Mentioned']",3,0
2015-01-28,KR,0,1,28.36,95371.97999999994,"[""Broadcom Has Been A 'Powerhouse'; Bernstein Starts Stock At Outperform""
 ""Benzinga's Top Initiations""
 'Bernstein Initiates Coverage on Broadcom at Outperform, Announces $215.00 PT']",3,0
2015-01-28,GILD,0,1,73.65,95298.32999999994,"['Wells Fargo Initiates Coverage on Broadcom at Market Perform'
 ""Benzinga's Top Initiations""]",3,0
2015-01-28,XLU,0,1,34.75,95263.57999999994,"[""Citi Sees Xilinx As 'Still The Last Good Takeover Target Standing'""]",3,0
2015-01-29,MDT,0,1,56.46,95207.11999999994,"[""Microsemi Takeover 'Would Be Early,' But Co. Could Become M&A Asset 'Shortly'""]",3,0
2015-01-29,KR,0,1,27.94,95179.17999999993,"[""Buying Brocade Boosts Broadcom's Price Target At Pacific Crest""
 'Semiconductor M&A Activity For 2016 May Be Second To Only 2015'
 ""Broadcom To Investors: We Aren't Getting Into The Systems Business""
 '6 Stocks That Rallied Three Days On Increasing Volume'
 'Wall Street M&A Chatter From Wednesday, November 2']",3,0
2015-01-29,JD,0,1,23.04,95156.13999999994,"['Broadcom Finds A Clever Way To Maintain M&A Strategy With Brocade Deal'
 '10 Stocks That Rallied Four Days, Then Sold Off Yesterday'
 'Jim Cramer Shares His Thoughts On Acacia Communications And Advanced Micro Devices']",3,-1
2015-01-29,SLB,0,1,60.06,95096.07999999994,"['10 Stocks That Rallied Four Days, Then Sold Off Yesterday']",3,0
2015-01-29,AVGO,0,1,7.92,95088.15999999995,"[""Apple's iPhone 7 Cuts On Semi Supply Chain: Not As Bad As Last Year""]",3,0
